Data_raw,Final_project,Photos,Date,Stage,Species,SpeciesID,Treatment_temp,Treatment_water,PhotoID,Segmented,Cropped,FileType
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO10,Ambient+HW,Drought,DSC00273,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO14,Ambient,Drought,DSC00303,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO23,Ambient+HW,Drought,DSC00299,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO29,Ambient+HW,Drought,DSC00274,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO34,Ambient+HW,Drought,DSC00258,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO39,Ambient,Drought,DSC00289,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO42,Ambient+HW,Drought,DSC00290,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO44,Ambient,Drought,DSC00261,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO45,Ambient,Drought,DSC00271,segmented,crop,JPG
data_raw,final_project,Photos,2021-08-26,Final,PIPO,PIPO49,Ambient,Drought,DSC00295,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-11,Final,PIPO,PIPO10,Ambient+HW,Drought,DSC02905,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-11,Final,PIPO,PIPO23,Ambient+HW,Drought,DSC02906,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-11,Final,PIPO,PIPO29,Ambient+HW,Drought,DSC02907,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-11,Final,PIPO,PIPO34,Ambient+HW,Drought,DSC02898,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-11,Final,PIPO,PIPO42,Ambient+HW,Drought,DSC02900,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-11,Final,PIPO,PIPO44,Ambient,Drought,DSC02879,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-11,Final,PIPO,PIPO45,Ambient,Drought,DSC02877,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-11,Final,PIPO,PIPO49,Ambient,Drought,DSC02875,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-19,Final,PIPO,PIPO10,Ambient+HW,Drought,DSC03158,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-19,Final,PIPO,PIPO23,Ambient+HW,Drought,DSC03159,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-19,Final,PIPO,PIPO29,Ambient+HW,Drought,DSC03160,segmented,crop,JPG
