Data_raw,Final_project,Photos,Date,Stage,Species,SpeciesID,Treatment_temp,Treatment_water,PhotoID,Segmented,Cropped,FileType
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO10,Ambient+HW,Drought,DSC02480,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO14,Ambient,Drought,DSC02506,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO23,Ambient+HW,Drought,DSC02481,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO29,Ambient+HW,Drought,DSC02482,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO34,Ambient+HW,Drought,DSC02473,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO39,Ambient,Drought,DSC02488,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO42,Ambient+HW,Drought,DSC02475,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO44,Ambient,Drought,DSC02504,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO45,Ambient,Drought,DSC02502,segmented,crop,JPG
data_raw,final_project,Photos,2021-11-05,Final,PIPO,PIPO49,Ambient,Drought,DSC02500,segmented,crop,JPG
